name,village,skill1,skill2,experience
narayan gadri,Bandakeri,industry worker,mason,"I used to work as a industry worker and roam around for work, but I cannot anymore"
mohd parvez,Budingod,labor,guard,I have been looking for work as a labor for a long time now
dharmbir singh,Budingod,machine operator,labour,"I used to work as a machine operator and roam around for work, but I cannot anymore"
sidharath,Budingod,mason,industry worker,"I used to work as a mason and roam around for work, but I cannot anymore"
manjeet,Bandakeri,mason,machinery handler,"from year 2010 until recently, I worked as a mason around the village, and I have migrated to a lot of places"
virender,Bandakeri,mason,production helper,"from year 2010 until recently, I worked as a mason around the village, and I have migrated to a lot of places"
deepak,Budingod,security,factory worker,I want to be employed as a security since I am out of work
tajuddin,Budingod,labour,factory worker,I work as a labour for many years now
vijay pal singh,Budingod,machinery handler,construction worker,I am an old man working around as a machinery handler since 2010
akash tomer,Bandakeri,watchman,mason,"I used to work as a watchman and roam around for work, but I cannot anymore"
shafibul,Aladakatti,security,mason,I am a security and things have been difficult during pandemic
raju garg,Bandakeri,production helper,watchman,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
abhishekh,Bandakeri,chaukidaar,factory worker,I am an old man working around as a chaukidaar since 2010
mannu yadav,Budingod,labor,production helper,I want to be employed as a labor since I am out of work
nausad,Aladakatti,industry worker,security,I have been looking for work as a industry worker for a long time now
shiv prasad singh,Aladakatti,production helper,security,I am a production helper and things have been difficult during pandemic
sushil kumar,Budingod,labourer,warden,"I used to work as a labourer and roam around for work, but I cannot anymore"
tara singh rawat,Bandakeri,warden,industry worker,I am currently a warden and have been one since 2010 and I have no job since the pandemic
manish,Budingod,watchman,factory worker,"Since 2010, I worked on many sites as watchman and I am no longer able to work"
ajay,Aladakatti,watchman,industry worker,I work as a watchman for many years now
ajay haldar,Bandakeri,machinery handler,labor,I am an old man working around as a machinery handler since 2010
mayank chaudhary @ rahul,Aladakatti,warden,labor,I used to work in the city as a warden when I started off in 2010 and I am unable to migrate since the pandemic
deepak,Budingod,guard,labourer,I used to work in the city as a guard when I started off in 2010 and I am unable to migrate since the pandemic
kishan,Budingod,machine operator,mason,I am a machine operator and things have been difficult during pandemic
bhagwati prasad,Aladakatti,mason,machinery handler,I am currently a mason and have been one since 2010 and I have no job since the pandemic
sandeep kumar,Aladakatti,construction worker,factory worker,I used to work in the city as a construction worker when I started off in 2010 and I am unable to migrate since the pandemic
ravi,Budingod,machinery handler,labourer,I am an old man working around as a machinery handler since 2010
subhakar @ bablu,Budingod,production helper,watchman,I am a production helper and things have been difficult during pandemic
rajkumar saini s/o madan lal saini,Budingod,labour,guard,I am currently a labour and have been one since 2010 and I have no job since the pandemic
shamshad,Budingod,factory worker,construction worker,"I used to work as a factory worker and roam around for work, but I cannot anymore"
raju,Bandakeri,factory worker,chaukidaar,"I used to work as a factory worker and roam around for work, but I cannot anymore"
mukhtyar hussain,Aladakatti,guard,factory worker,I am an old man working around as a guard since 2010
praveen,Budingod,machinery handler,construction worker,I work as a machinery handler for many years now
sikandar,Budingod,labour,warden,I want to be employed as a labour since I am out of work
manish,Budingod,mason,machinery handler,I am currently a mason and have been one since 2010 and I have no job since the pandemic
ishant,Budingod,mason,chaukidaar,I used to work in the city as a mason when I started off in 2010 and I am unable to migrate since the pandemic
abhinav chaudhary,Bandakeri,machinery handler,guard,I want to be employed as a machinery handler since I am out of work
aashik,Budingod,mason,warden,I am an old man working around as a mason since 2010
manoj kumar,Bandakeri,labour,machine operator,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
sanjay,Bandakeri,machinery handler,construction worker,I am an old man working around as a machinery handler since 2010
manoj,Aladakatti,production helper,security,I work as a production helper for many years now
ankit,Bandakeri,guard,production helper,I am a guard and things have been difficult during pandemic
himanshu,Bandakeri,labour,production helper,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
raju,Budingod,chaukidaar,construction worker,"I used to work as a chaukidaar and roam around for work, but I cannot anymore"
gurdarshan singh,Budingod,labour,industry worker,I work as a labour for many years now
aasto,Bandakeri,mason,production helper,I work as a mason for many years now
ankit,Budingod,warden,machinery handler,I am a warden and things have been difficult during pandemic
pankaj chand,Aladakatti,mason,machine operator,I used to work in the city as a mason when I started off in 2010 and I am unable to migrate since the pandemic
komal / kabila,Budingod,chaukidaar,machine operator,I work as a chaukidaar for many years now
aasish  kumar,Budingod,labourer,production helper,"Since 2010, I worked on many sites as labourer and I am no longer able to work"
ravindra kumar,Aladakatti,machinery handler,watchman,I am currently a machinery handler and have been one since 2010 and I have no job since the pandemic
amit,Budingod,factory worker,security,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
krishan gopal,Budingod,mason,production helper,"from year 2010 until recently, I worked as a mason around the village, and I have migrated to a lot of places"
madan jain,Budingod,labour,machinery handler,I used to work in the city as a labour when I started off in 2010 and I am unable to migrate since the pandemic
devender,Budingod,industry worker,labour,I am an old man working around as a industry worker since 2010
sachin kumar,Budingod,mason,guard,I am currently a mason and have been one since 2010 and I have no job since the pandemic
amit kumar verma,Budingod,watchman,industry worker,I work as a watchman for many years now
raj kumar,Bandakeri,labourer,machinery handler,I am currently a labourer and have been one since 2010 and I have no job since the pandemic
munna lal jain,Bandakeri,labor,warden,I have been looking for work as a labor for a long time now
ram kumar,Aladakatti,machine operator,construction worker,"I used to work as a machine operator and roam around for work, but I cannot anymore"
dinesh,Bandakeri,construction worker,production helper,I am currently a construction worker and have been one since 2010 and I have no job since the pandemic
maj- koko khaing,Bandakeri,labor,factory worker,I work as a labor for many years now
farid,Aladakatti,labour,warden,I work as a labour for many years now
lakshya chauhan @ lucky,Budingod,production helper,chaukidaar,I want to be employed as a production helper since I am out of work
ankit tiwari,Bandakeri,security,factory worker,I have been looking for work as a security for a long time now
deepak,Aladakatti,mason,industry worker,"I used to work as a mason and roam around for work, but I cannot anymore"
sahil tigga,Aladakatti,machine operator,security,"Since 2010, I worked on many sites as machine operator and I am no longer able to work"
ankit,Budingod,mason,industry worker,I am a mason and things have been difficult during pandemic
vimal kumar,Budingod,industry worker,labour,I have been looking for work as a industry worker for a long time now
henkhochon haokip,Bandakeri,security,production helper,I have been looking for work as a security for a long time now
gajender kumar,Bandakeri,labor,machinery handler,I am currently a labor and have been one since 2010 and I have no job since the pandemic
kishan,Bandakeri,construction worker,warden,I want to be employed as a construction worker since I am out of work
raj kumar,Aladakatti,security,labourer,I have been looking for work as a security for a long time now
balraj,Aladakatti,labour,production helper,I am a labour and things have been difficult during pandemic
amit kumar,Aladakatti,security,labourer,I have been looking for work as a security for a long time now
harman singh,Aladakatti,construction worker,chaukidaar,I work as a construction worker for many years now
chirag,Budingod,construction worker,machine operator,I want to be employed as a construction worker since I am out of work
pawan kumar @ sonu,Bandakeri,construction worker,warden,I have been looking for work as a construction worker for a long time now
gappu,Aladakatti,industry worker,labourer,"Since 2010, I worked on many sites as industry worker and I am no longer able to work"
azaz,Aladakatti,factory worker,mason,I want to be employed as a factory worker since I am out of work
mukesh,Bandakeri,labour,production helper,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
vipiv malkania,Bandakeri,chaukidaar,machinery handler,I used to work in the city as a chaukidaar when I started off in 2010 and I am unable to migrate since the pandemic
sanjeev,Budingod,mason,warden,"from year 2010 until recently, I worked as a mason around the village, and I have migrated to a lot of places"
md. afsar,Aladakatti,industry worker,watchman,I work as a industry worker for many years now
bilal malik,Bandakeri,watchman,labor,I am currently a watchman and have been one since 2010 and I have no job since the pandemic
ritu raj,Budingod,guard,machine operator,I am an old man working around as a guard since 2010
aryan prateek,Budingod,labour,production helper,I am an old man working around as a labour since 2010
atul,Budingod,chaukidaar,mason,I am an old man working around as a chaukidaar since 2010
subodh,Budingod,labor,production helper,"I used to work as a labor and roam around for work, but I cannot anymore"
tavinder kumar,Budingod,production helper,labor,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
arvind kumar yadav,Aladakatti,production helper,mason,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
sanjay,Aladakatti,machinery handler,labor,I am an old man working around as a machinery handler since 2010
sachin,Budingod,factory worker,labour,I work as a factory worker for many years now
gaurav kumar,Bandakeri,construction worker,guard,"Since 2010, I worked on many sites as construction worker and I am no longer able to work"
nithyanandham,Bandakeri,machine operator,labourer,"from year 2010 until recently, I worked as a machine operator around the village, and I have migrated to a lot of places"
raj kumar,Bandakeri,factory worker,chaukidaar,I have been looking for work as a factory worker for a long time now
rehman khan,Budingod,industry worker,warden,I want to be employed as a industry worker since I am out of work
sunil kumar,Bandakeri,construction worker,industry worker,"I used to work as a construction worker and roam around for work, but I cannot anymore"
milap chand,Budingod,chaukidaar,factory worker,"I used to work as a chaukidaar and roam around for work, but I cannot anymore"
anuj tiwari,Bandakeri,labor,warden,I am a labor and things have been difficult during pandemic
dolly @ rekha w/o monto shah,Aladakatti,labourer,warden,"I used to work as a labourer and roam around for work, but I cannot anymore"
shri kant,Budingod,production helper,warden,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
akash gupta,Aladakatti,production helper,construction worker,"from year 2010 until recently, I worked as a production helper around the village, and I have migrated to a lot of places"
pawan kumar,Aladakatti,guard,labor,I am currently a guard and have been one since 2010 and I have no job since the pandemic
harbir  singh,Aladakatti,watchman,mason,I have been looking for work as a watchman for a long time now
rajiv bagoriya,Bandakeri,labor,guard,I want to be employed as a labor since I am out of work
devender,Bandakeri,security,labourer,I am currently a security and have been one since 2010 and I have no job since the pandemic
talim,Aladakatti,production helper,guard,I have been looking for work as a production helper for a long time now
bablu regar,Aladakatti,machinery handler,labour,I am currently a machinery handler and have been one since 2010 and I have no job since the pandemic
rajkumar chawla,Aladakatti,chaukidaar,labour,I have been looking for work as a chaukidaar for a long time now
chandesh,Aladakatti,machine operator,security,I am an old man working around as a machine operator since 2010
rajkumar,Aladakatti,construction worker,security,I work as a construction worker for many years now
parveen,Aladakatti,factory worker,mason,"I used to work as a factory worker and roam around for work, but I cannot anymore"
bhushan sahay,Budingod,machinery handler,security,I work as a machinery handler for many years now
raju,Budingod,labour,warden,I am currently a labour and have been one since 2010 and I have no job since the pandemic
nikhleshwar bhagat,Aladakatti,labour,warden,I want to be employed as a labour since I am out of work
satish,Budingod,warden,production helper,I am a warden and things have been difficult during pandemic
jai prakash kashyap,Bandakeri,chaukidaar,labor,I want to be employed as a chaukidaar since I am out of work
savan,Budingod,factory worker,warden,I am a factory worker and things have been difficult during pandemic
gautam kumar,Bandakeri,chaukidaar,construction worker,"from year 2010 until recently, I worked as a chaukidaar around the village, and I have migrated to a lot of places"
vijay,Budingod,warden,factory worker,"I used to work as a warden and roam around for work, but I cannot anymore"
kunal kishore,Budingod,warden,machinery handler,I am an old man working around as a warden since 2010
muntiyaj,Budingod,mason,watchman,I am a mason and things have been difficult during pandemic
ashish @ aashu,Budingod,watchman,industry worker,"from year 2010 until recently, I worked as a watchman around the village, and I have migrated to a lot of places"
sagar,Bandakeri,construction worker,industry worker,"from year 2010 until recently, I worked as a construction worker around the village, and I have migrated to a lot of places"
vinay kumar,Budingod,guard,industry worker,"Since 2010, I worked on many sites as guard and I am no longer able to work"
bhanwar singh,Bandakeri,machinery handler,guard,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
sachin kumar,Bandakeri,guard,factory worker,"Since 2010, I worked on many sites as guard and I am no longer able to work"
ajay,Bandakeri,production helper,chaukidaar,I am an old man working around as a production helper since 2010
satish,Budingod,chaukidaar,machinery handler,I used to work in the city as a chaukidaar when I started off in 2010 and I am unable to migrate since the pandemic
deepu,Budingod,chaukidaar,labourer,I work as a chaukidaar for many years now
arjun yadav,Budingod,chaukidaar,labourer,I used to work in the city as a chaukidaar when I started off in 2010 and I am unable to migrate since the pandemic
harprasad sahu,Bandakeri,industry worker,watchman,"I used to work as a industry worker and roam around for work, but I cannot anymore"
ashok kharkwal,Bandakeri,machine operator,watchman,I want to be employed as a machine operator since I am out of work
vijay kumar,Budingod,guard,production helper,I am a guard and things have been difficult during pandemic
yash mittal,Aladakatti,warden,factory worker,I have been looking for work as a warden for a long time now
gulshan,Aladakatti,industry worker,mason,"I used to work as a industry worker and roam around for work, but I cannot anymore"
ajay kumar,Budingod,industry worker,chaukidaar,I want to be employed as a industry worker since I am out of work
manish sehrawat,Bandakeri,mason,machinery handler,"from year 2010 until recently, I worked as a mason around the village, and I have migrated to a lot of places"
suraj,Bandakeri,factory worker,mason,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
dinesh,Budingod,chaukidaar,mason,I have been looking for work as a chaukidaar for a long time now
ramvilash,Aladakatti,factory worker,warden,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
nandkishore karpenter,Aladakatti,factory worker,security,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
prem,Bandakeri,machine operator,labour,I work as a machine operator for many years now
janesh,Budingod,factory worker,warden,I used to work in the city as a factory worker when I started off in 2010 and I am unable to migrate since the pandemic
sukhdev,Aladakatti,mason,chaukidaar,I have been looking for work as a mason for a long time now
guddu,Aladakatti,machine operator,labourer,I have been looking for work as a machine operator for a long time now
lalan devi,Budingod,warden,production helper,I used to work in the city as a warden when I started off in 2010 and I am unable to migrate since the pandemic
suraj,Bandakeri,mason,machinery handler,"I used to work as a mason and roam around for work, but I cannot anymore"
murli dhar,Budingod,labourer,warden,"from year 2010 until recently, I worked as a labourer around the village, and I have migrated to a lot of places"
rajender @ kaku,Bandakeri,factory worker,labor,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
abhinav vashit,Bandakeri,security,labour,"I used to work as a security and roam around for work, but I cannot anymore"
sanjay,Aladakatti,construction worker,security,I used to work in the city as a construction worker when I started off in 2010 and I am unable to migrate since the pandemic
veer singh,Bandakeri,warden,machinery handler,I am an old man working around as a warden since 2010
ashutosh @ deepak,Budingod,industry worker,warden,I work as a industry worker for many years now
rahul sharma,Budingod,labourer,security,I work as a labourer for many years now
mohan,Bandakeri,industry worker,watchman,I am an old man working around as a industry worker since 2010
mohd miraj ansari,Aladakatti,construction worker,industry worker,I am a construction worker and things have been difficult during pandemic
tarif,Budingod,machine operator,labour,I work as a machine operator for many years now
raju,Budingod,production helper,mason,"I used to work as a production helper and roam around for work, but I cannot anymore"
nazeem,Aladakatti,watchman,labourer,I am an old man working around as a watchman since 2010
raju @ chhotu,Aladakatti,machinery handler,watchman,I work as a machinery handler for many years now
harishankar verma,Budingod,labour,industry worker,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
tarachand @ pappu,Bandakeri,labourer,machine operator,I used to work in the city as a labourer when I started off in 2010 and I am unable to migrate since the pandemic
puran singh rastogi,Bandakeri,warden,labor,"I used to work as a warden and roam around for work, but I cannot anymore"
prince,Budingod,construction worker,guard,I am an old man working around as a construction worker since 2010
kamre alam,Aladakatti,chaukidaar,machine operator,I am currently a chaukidaar and have been one since 2010 and I have no job since the pandemic
kartik @ kaku,Aladakatti,labor,warden,I have been looking for work as a labor for a long time now
brahamprakash s/o meer singh,Bandakeri,labourer,chaukidaar,I am an old man working around as a labourer since 2010
dheeraj @ montu,Budingod,watchman,labor,I work as a watchman for many years now
ali sher,Budingod,labour,machine operator,I work as a labour for many years now
deepak,Aladakatti,industry worker,warden,I am a industry worker and things have been difficult during pandemic
sandeep kumar,Budingod,labourer,machine operator,I am an old man working around as a labourer since 2010
shardanand,Bandakeri,watchman,labourer,I am an old man working around as a watchman since 2010
aamir,Aladakatti,watchman,labor,"I used to work as a watchman and roam around for work, but I cannot anymore"
kanhaiya lal,Budingod,warden,production helper,I am an old man working around as a warden since 2010
pandit ram niwas,Budingod,production helper,labor,I have been looking for work as a production helper for a long time now
pramjot singh,Bandakeri,labour,machinery handler,I am currently a labour and have been one since 2010 and I have no job since the pandemic
ajahar,Aladakatti,factory worker,labourer,I want to be employed as a factory worker since I am out of work
ram narayan meena,Budingod,warden,production helper,I am currently a warden and have been one since 2010 and I have no job since the pandemic
sanny kumar,Budingod,security,mason,"I used to work as a security and roam around for work, but I cannot anymore"
rekhai,Bandakeri,chaukidaar,factory worker,I am an old man working around as a chaukidaar since 2010
aman,Aladakatti,labour,machinery handler,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
dinesh,Bandakeri,security,labour,"I used to work as a security and roam around for work, but I cannot anymore"
uday partap,Budingod,labourer,industry worker,I used to work in the city as a labourer when I started off in 2010 and I am unable to migrate since the pandemic
krishan kumar,Budingod,warden,construction worker,I am currently a warden and have been one since 2010 and I have no job since the pandemic
sumit mitra,Aladakatti,machinery handler,labourer,"Since 2010, I worked on many sites as machinery handler and I am no longer able to work"
subham kumar yadav,Bandakeri,machinery handler,guard,I am currently a machinery handler and have been one since 2010 and I have no job since the pandemic
vansu dev,Aladakatti,construction worker,warden,I am currently a construction worker and have been one since 2010 and I have no job since the pandemic
charan singh,Bandakeri,production helper,warden,I want to be employed as a production helper since I am out of work
ramkishan gupta,Budingod,factory worker,warden,I am an old man working around as a factory worker since 2010
shahid,Bandakeri,labourer,factory worker,I work as a labourer for many years now
shiv prakash,Aladakatti,labourer,warden,I am a labourer and things have been difficult during pandemic
surender singh chauhan,Aladakatti,warden,construction worker,I am a warden and things have been difficult during pandemic
ravi @ rinkku,Budingod,chaukidaar,mason,I work as a chaukidaar for many years now
anwar,Bandakeri,warden,production helper,"I used to work as a warden and roam around for work, but I cannot anymore"
sandeep,Aladakatti,factory worker,construction worker,I am currently a factory worker and have been one since 2010 and I have no job since the pandemic
jamil khan,Aladakatti,warden,machinery handler,I have been looking for work as a warden for a long time now
shakti singh,Budingod,security,construction worker,I have been looking for work as a security for a long time now
ishtkar,Bandakeri,production helper,warden,I used to work in the city as a production helper when I started off in 2010 and I am unable to migrate since the pandemic
om parkash ahuja,Aladakatti,construction worker,production helper,"I used to work as a construction worker and roam around for work, but I cannot anymore"
dr. hema hari pago,Budingod,production helper,labourer,I am an old man working around as a production helper since 2010
mubarik,Aladakatti,security,machine operator,"Since 2010, I worked on many sites as security and I am no longer able to work"
asharam,Budingod,chaukidaar,construction worker,I am currently a chaukidaar and have been one since 2010 and I have no job since the pandemic
kiran pal,Bandakeri,machine operator,mason,I have been looking for work as a machine operator for a long time now
mohit @ himanshu,Aladakatti,security,machine operator,"from year 2010 until recently, I worked as a security around the village, and I have migrated to a lot of places"
amit kumar,Aladakatti,labor,chaukidaar,I used to work in the city as a labor when I started off in 2010 and I am unable to migrate since the pandemic
gopal sharma,Aladakatti,labor,industry worker,I work as a labor for many years now
yuvraj kumar,Aladakatti,security,labourer,"Since 2010, I worked on many sites as security and I am no longer able to work"
rohit,Budingod,mason,security,I work as a mason for many years now
firoj,Budingod,labor,security,"I used to work as a labor and roam around for work, but I cannot anymore"
raja kumar,Aladakatti,construction worker,industry worker,"Since 2010, I worked on many sites as construction worker and I am no longer able to work"
nootan prakash yadav,Bandakeri,industry worker,mason,"from year 2010 until recently, I worked as a industry worker around the village, and I have migrated to a lot of places"
pappu @ mahender singh,Bandakeri,factory worker,chaukidaar,I work as a factory worker for many years now
annu,Bandakeri,production helper,labour,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
ajay kumar,Aladakatti,mason,industry worker,I am a mason and things have been difficult during pandemic
amit,Bandakeri,construction worker,factory worker,I have been looking for work as a construction worker for a long time now
firoz,Budingod,machine operator,labour,"Since 2010, I worked on many sites as machine operator and I am no longer able to work"
suresh@tinku,Budingod,industry worker,warden,I work as a industry worker for many years now
ramdin verma,Aladakatti,labour,security,I want to be employed as a labour since I am out of work
arun,Aladakatti,production helper,labor,I want to be employed as a production helper since I am out of work
badri prsad mishra,Budingod,labor,machine operator,I am currently a labor and have been one since 2010 and I have no job since the pandemic
lal babu prasad,Bandakeri,machine operator,labor,I am currently a machine operator and have been one since 2010 and I have no job since the pandemic
samadh,Budingod,labourer,factory worker,I used to work in the city as a labourer when I started off in 2010 and I am unable to migrate since the pandemic
amit kumar shukla,Bandakeri,labor,industry worker,I have been looking for work as a labor for a long time now
ranjeet,Budingod,labourer,watchman,"Since 2010, I worked on many sites as labourer and I am no longer able to work"
masoom,Budingod,production helper,chaukidaar,"I used to work as a production helper and roam around for work, but I cannot anymore"
beeru,Aladakatti,construction worker,machinery handler,I am currently a construction worker and have been one since 2010 and I have no job since the pandemic
manish kumar,Bandakeri,industry worker,warden,I am an old man working around as a industry worker since 2010
aman,Budingod,guard,production helper,"from year 2010 until recently, I worked as a guard around the village, and I have migrated to a lot of places"
esrail khan,Aladakatti,warden,production helper,"I used to work as a warden and roam around for work, but I cannot anymore"
shyam kumar,Aladakatti,security,construction worker,I used to work in the city as a security when I started off in 2010 and I am unable to migrate since the pandemic
pawan,Bandakeri,labourer,machine operator,"from year 2010 until recently, I worked as a labourer around the village, and I have migrated to a lot of places"
amit,Aladakatti,machine operator,chaukidaar,I am currently a machine operator and have been one since 2010 and I have no job since the pandemic
keshar ansari,Aladakatti,production helper,warden,I am currently a production helper and have been one since 2010 and I have no job since the pandemic
monu,Budingod,labour,guard,I work as a labour for many years now
sanjit misra,Bandakeri,labor,chaukidaar,"Since 2010, I worked on many sites as labor and I am no longer able to work"
sohnal kumar singh,Bandakeri,machinery handler,mason,I work as a machinery handler for many years now
rohit kumar tiwari,Budingod,machinery handler,chaukidaar,I work as a machinery handler for many years now
nirmal,Bandakeri,labor,warden,I work as a labor for many years now
dharmbir,Aladakatti,construction worker,security,I have been looking for work as a construction worker for a long time now
vikas,Aladakatti,machinery handler,warden,I am an old man working around as a machinery handler since 2010
jitender,Budingod,machine operator,watchman,"Since 2010, I worked on many sites as machine operator and I am no longer able to work"
raja babu,Bandakeri,factory worker,labour,I want to be employed as a factory worker since I am out of work
ram prakash,Budingod,chaukidaar,industry worker,I am currently a chaukidaar and have been one since 2010 and I have no job since the pandemic
hardeep @ hunny,Bandakeri,guard,machinery handler,I am a guard and things have been difficult during pandemic
deepak,Budingod,labourer,chaukidaar,I used to work in the city as a labourer when I started off in 2010 and I am unable to migrate since the pandemic
raj kapoor,Bandakeri,machine operator,labour,"Since 2010, I worked on many sites as machine operator and I am no longer able to work"
rahul,Aladakatti,production helper,watchman,"I used to work as a production helper and roam around for work, but I cannot anymore"
abhimanyu,Bandakeri,labour,industry worker,I am an old man working around as a labour since 2010
lala bhai,Aladakatti,machinery handler,guard,"from year 2010 until recently, I worked as a machinery handler around the village, and I have migrated to a lot of places"
irfan,Aladakatti,production helper,construction worker,I have been looking for work as a production helper for a long time now
har parsad,Aladakatti,security,industry worker,I used to work in the city as a security when I started off in 2010 and I am unable to migrate since the pandemic
subhash,Aladakatti,construction worker,warden,I have been looking for work as a construction worker for a long time now
santlal@golu,Aladakatti,construction worker,machinery handler,I have been looking for work as a construction worker for a long time now
ranveer singh,Bandakeri,security,factory worker,I want to be employed as a security since I am out of work
karunakar dehra,Bandakeri,labour,production helper,I used to work in the city as a labour when I started off in 2010 and I am unable to migrate since the pandemic
krishan lal gulyani,Budingod,watchman,labourer,I used to work in the city as a watchman when I started off in 2010 and I am unable to migrate since the pandemic
anubhav shrivastab,Aladakatti,labour,industry worker,I am an old man working around as a labour since 2010
dhansinghpuri,Bandakeri,industry worker,watchman,I used to work in the city as a industry worker when I started off in 2010 and I am unable to migrate since the pandemic
kripal singh,Budingod,factory worker,labor,"from year 2010 until recently, I worked as a factory worker around the village, and I have migrated to a lot of places"
satish kumar,Aladakatti,security,labour,I am an old man working around as a security since 2010
mantu kumar,Bandakeri,production helper,warden,I am an old man working around as a production helper since 2010
manoj yadav @ manoj,Aladakatti,labour,warden,I am currently a labour and have been one since 2010 and I have no job since the pandemic
suraj kumar,Budingod,production helper,guard,"Since 2010, I worked on many sites as production helper and I am no longer able to work"
yogita,Aladakatti,production helper,mason,"I used to work as a production helper and roam around for work, but I cannot anymore"
chhotelal,Bandakeri,labor,guard,I am currently a labor and have been one since 2010 and I have no job since the pandemic
ankit,Budingod,machine operator,labour,I am currently a machine operator and have been one since 2010 and I have no job since the pandemic
pavan sharma,Aladakatti,guard,machine operator,I am a guard and things have been difficult during pandemic
yogesh,Aladakatti,security,production helper,I used to work in the city as a security when I started off in 2010 and I am unable to migrate since the pandemic
ravinder,Bandakeri,chaukidaar,industry worker,I want to be employed as a chaukidaar since I am out of work
rishab,Bandakeri,mason,machinery handler,I am a mason and things have been difficult during pandemic
parveen aggarwal,Bandakeri,industry worker,labourer,I work as a industry worker for many years now
rahul,Budingod,labour,security,"from year 2010 until recently, I worked as a labour around the village, and I have migrated to a lot of places"
munender singh,Budingod,labourer,chaukidaar,"I used to work as a labourer and roam around for work, but I cannot anymore"
sachin,Aladakatti,machine operator,security,I work as a machine operator for many years now
abdul rahman,Budingod,machinery handler,chaukidaar,"Since 2010, I worked on many sites as machinery handler and I am no longer able to work"
babalu sen,Aladakatti,labourer,security,I want to be employed as a labourer since I am out of work
harsh singhal,Budingod,production helper,labor,"Since 2010, I worked on many sites as production helper and I am no longer able to work"
ram pyare,Aladakatti,labor,production helper,I want to be employed as a labor since I am out of work
sitaram bairwa,Budingod,mason,chaukidaar,I am an old man working around as a mason since 2010
lokesh,Bandakeri,guard,labour,I work as a guard for many years now
mohd shakib,Aladakatti,labourer,machinery handler,I want to be employed as a labourer since I am out of work
ghansyam soni,Budingod,machinery handler,labourer,I am an old man working around as a machinery handler since 2010
parminder,Bandakeri,labor,guard,I am currently a labor and have been one since 2010 and I have no job since the pandemic
farmaan khan,Aladakatti,labour,machine operator,I work as a labour for many years now
bilal,Budingod,labour,warden,I am currently a labour and have been one since 2010 and I have no job since the pandemic
nikhil,Budingod,labour,production helper,I used to work in the city as a labour when I started off in 2010 and I am unable to migrate since the pandemic
ramkaran verma,Aladakatti,mason,machinery handler,I am currently a mason and have been one since 2010 and I have no job since the pandemic
ram chander jha,Bandakeri,warden,industry worker,I am a warden and things have been difficult during pandemic
badshya khan,Aladakatti,mason,warden,I want to be employed as a mason since I am out of work
son pal@ sonu kumar,Budingod,construction worker,warden,I work as a construction worker for many years now
vude bhadur,Bandakeri,labourer,factory worker,I am an old man working around as a labourer since 2010
shyama,Bandakeri,labour,guard,I am currently a labour and have been one since 2010 and I have no job since the pandemic
amit,Aladakatti,watchman,construction worker,"from year 2010 until recently, I worked as a watchman around the village, and I have migrated to a lot of places"
rohit,Aladakatti,warden,industry worker,"Since 2010, I worked on many sites as warden and I am no longer able to work"
khursid,Aladakatti,watchman,industry worker,I have been looking for work as a watchman for a long time now
shyam sundra,Budingod,machinery handler,labor,I am a machinery handler and things have been difficult during pandemic
jang bahadur,Aladakatti,labour,warden,I used to work in the city as a labour when I started off in 2010 and I am unable to migrate since the pandemic
satender,Budingod,security,production helper,I want to be employed as a security since I am out of work
roshan,Budingod,machinery handler,guard,"I used to work as a machinery handler and roam around for work, but I cannot anymore"
sanjay kumar s/o,Bandakeri,warden,factory worker,I am currently a warden and have been one since 2010 and I have no job since the pandemic
lalit rana,Aladakatti,machinery handler,labor,I used to work in the city as a machinery handler when I started off in 2010 and I am unable to migrate since the pandemic
aakash,Aladakatti,construction worker,production helper,"from year 2010 until recently, I worked as a construction worker around the village, and I have migrated to a lot of places"
mahavir,Bandakeri,machinery handler,labor,I used to work in the city as a machinery handler when I started off in 2010 and I am unable to migrate since the pandemic
deelip,Bandakeri,chaukidaar,construction worker,I have been looking for work as a chaukidaar for a long time now
guman singh basyal,Aladakatti,watchman,machine operator,I am a watchman and things have been difficult during pandemic
chandan kumar,Budingod,watchman,machine operator,I am an old man working around as a watchman since 2010
irfan,Aladakatti,labourer,machine operator,I have been looking for work as a labourer for a long time now
abbas,Bandakeri,warden,mason,I used to work in the city as a warden when I started off in 2010 and I am unable to migrate since the pandemic
mahabir prasad,Aladakatti,security,mason,I am currently a security and have been one since 2010 and I have no job since the pandemic
